Año;Mes;Codigo Tienda;Presupuesto
2020;9;T-0004-37152;882841.0574
2020;9;T-0086-40056;772292.7888
2020;9;T-0095-42176;875475.8285000001
2020;9;T-0149-12052;706615.8484
2020;9;T-0160-44110;827073.4175
2020;9;T-0243-31169;568008.0772
2020;9;T-0243-36004;1099103.3654
2020;9;T-0296-45136;783668.2922
2020;9;T-0297-29065;953414.261
2020;9;T-0301-48013;621897.2802
2020;9;T-0313-49272;1237823.9622
2020;9;T-0341-23047;523353.138
2020;9;T-0347-9060;1105754.7735
2020;9;T-0376-36060;1033748.5788
2020;9;T-0411-45046;833424.4948
2020;9;T-0413-39024;687220.0725
2020;9;T-0427-22254;954322.15
2020;9;T-0452-41005;1060206.8778000001
2020;9;T-0506-19232;854119.5115
2020;9;T-0534-23052;1167933.2426
2020;9;T-0599-17151;710794.4305
2020;9;T-0604-45089;841031.9475
2020;9;T-0667-19120;597083.1488000001
2020;9;T-0696-45203;698013.9896
2020;9;T-0715-40221;544443.924
2020;9;T-0783-47151;564129.2686
2020;9;T-0793-9466;1056494.061
2020;9;T-0808-6137;784000.4835
2020;9;T-0849-2001;955270.1965999999
2020;9;T-0855-21078;1046556.7524000001
2020;9;T-0875-18024;558539.9105
2020;9;T-0914-49109;839856.2592
2020;9;T-0917-5231;681249.63
2020;9;T-0918-20039;814442.3848
2020;9;T-0958-4103;868786.7474999999
2020;9;T-0976-19191;652549.4341
2020;9;T-0978-28901;989016.1494000001
2020;9;T-0995-9128;1195329.4405999999
2020;9;T-1039-26103;651591.8330999999
2020;9;T-1042-10007;1183969.819
2020;9;T-1062-10110;899057.4771
2020;9;T-1092-6031;856276.5216
2020;9;T-1126-43055;1215786.4704
2020;9;T-1137-22061;703791.2175
2020;9;T-1178-3021;568321.1226
2020;9;T-1195-34201;591154.343
2020;9;T-1227-29011;1204717.9576
2020;9;T-1258-29026;1107769.0806
2020;9;T-1260-16173;599621.2992
2020;9;T-1308-34083;785384.2739999999
2020;9;T-1328-12065;927715.9608000001
2020;9;T-1345-8027;868587.6695
2020;9;T-1372-21017;766374.54
2020;9;T-1416-48063;679204.2056
2020;9;T-1432-24025;571549.5101
2020;9;T-1437-38031;617123.8345
2020;9;T-1468-8107;1174606.9929999998
2020;9;T-1532-48069;889352.399
2020;9;T-1545-44208;850821.0925
2020;9;T-1548-4026;493781.8855
2020;9;T-1602-25249;1075136.964
2020;9;T-1653-47232;827314.4152
2020;9;T-1667-31031;927670.0558000001
2020;9;T-1719-23053;1039753.1130000001
2020;9;T-1735-16135;1072768.698
2020;9;T-1788-7044;1005381.6558000001
2020;9;T-1843-22158;673308.8142
2020;9;T-1854-10213;815511.254
2020;9;T-1949-19066;1194236.2474
2020;9;T-1957-37118;1044755.1331
2020;9;T-1973-48045;1177389.3576
2020;9;T-1997-43051;1023531.0722999999
2020;9;T-1997-48074;1134632.6634
2020;9;T-2021-2041;1013851.7562000001
2020;9;T-2030-9101;1235095.6178000001
2020;9;T-2031-40156;574414.1006
2020;9;T-2034-24902;498321.9904
2020;9;T-2068-37109;614502.499
2020;9;T-2077-8065;889959.1176
2020;9;T-2135-31166;861558.4925
2020;9;T-2160-23009;712274.1695
2020;9;T-2176-39021;495986.2492
2020;9;T-2234-5142;885241.3919999999
2020;9;T-2255-3043;970697.0923
2020;9;T-2265-27017;1099958.736
2020;9;T-2278-42205;811814.7764999999
2020;9;T-2364-8086;482129.6364000001
2020;9;T-2426-43050;1077630.125
2020;9;T-2426-45168;755747.8400000001
2020;9;T-2467-37382;737160.1311
2020;9;T-2481-49192;622473.84
2020;9;T-2485-25151;565385.31
2020;9;T-2594-8294;1155387.0372
2020;9;T-2720-49197;540148.0695
2020;9;T-2746-50075;1041452.6320000001
2020;9;T-2857-49092;511323.124
2020;9;T-2867-49057;864110.2116
2020;9;T-2895-26175;533567.9304000001
2020;9;T-2902-16027;1081269.4551
2020;9;T-2908-22048;718924.9343
2020;9;T-2943-37177;1064032.8050000002
2020;9;T-2975-8235;1035614.6201000001
2020;9;T-3007-33042;558796.9172
2020;9;T-3041-37239;988814.3262000001
2020;9;T-3089-42094;1111825.2928
2020;9;T-3103-42124;795765.7744
2020;9;T-3124-32021;680860.4284
2020;9;T-3148-45163;878539.5111
2020;9;T-3181-8230;798892.2629999999
2020;9;T-3196-43147;990311.9744000001
2020;9;T-3235-15031;1274166.7077000001
2020;9;T-3235-50089;571647.874
2020;9;T-3270-50072;551018.583
2020;9;T-3276-25035;550378.2372999999
2020;9;T-3284-9038;1211876.9421
2020;9;T-3315-23045;1114471.7064
2020;9;T-3334-41904;858285.0384000001
2020;9;T-3339-45185;803384.4677
2020;9;T-3347-5901;841409.4918
2020;9;T-3361-31048;986208.5134
2020;9;T-3364-16067;580832.7958
2020;9;T-3408-8055;718251.2012
2020;9;T-3420-24076;1176746.7
2020;9;T-3429-24158;1095307.1321999999
2020;9;T-3473-42195;523586.6116
2020;9;T-3501-9115;779504.5692
2020;9;T-3503-18909;1158697.0824
2020;9;T-3558-44180;903078.6444
2020;9;T-3572-37120;989031.7005000002
2020;9;T-3601-25220;1116701.6494
2020;9;T-3646-8902;948236.128
2020;9;T-3648-14012;617612.1216000001
2020;9;T-3657-25075;934345.216
2020;9;T-3680-44122;579822.7314
2020;9;T-3717-37258;1138990.26
2020;9;T-3751-3056;1121707.344
